channel,message_id,date,views,forwards,raw_text
@daryo,135492,2026-08-12 17:50:01,86021,38,"**Olimlar Surxondaryoda 4 ming yil avval ipakchilik mavjud bo‘lganini tasdiqlovchi dalillarni topdi**

Radiokarbon tahlili topilmalar miloddan avvalgi 1940–1765-yillarga oid ekanini ko‘rsatgan. Arxeologlar ayni madaniy qatlamdan ipak qurti uchun asosiy ozuqa hisoblangan tut daraxti qoldiqlarini ham aniqlagan.

Batafsil — https://daryo.uz/-XLOiqyDg

👉 Obuna bo'ling — @daryo"
@daryo,135493,2026-08-12 18:22:58,85157,13,"**Toshkent aeroportida Bangkokdan kelgan ikki yo‘lovchining bagajidan 7 kg mefedron topildi**

Ularning bagajlari tekshirilganda bir-biriga o‘xshash ikkita vino shishasi va ikkita plastik idish borligi aniqlangan. Holat yuzasidan jinoyat ishi qo‘zg‘atilgan.

Batafsil — https://daryo.uz/1ya173svg

👉 Obuna bo‘ling — @daryo"
@daryo,135494,2026-08-12 18:45:01,88575,1,"**12-avgust kuni e’lon qilingan yangiliklar dayjesti:**

• Jiddiy kamchiliklarga yo‘l qo‘ygan ayrim IIB xodimlari lavozimidan [ozod etiladi](https://daryo.uz/2026/08/12/jiddiy-kamchiliklarga-yol-qoygan-ayrim-iib-xodimlari-lavozimidan-ozod-etiladi)

• Mustaqillik bayramida o‘zbekistonliklar necha kun [dam oladi?](https://daryo.uz/2026/08/12/1208-mustaqillik-bayramida-ozbekistonliklar-necha-kun-dam-oladi)

• Qonunchilikdagi ayrim atamalar o‘zbekcha muqobillari bilan [almashtiriladi](https://daryo.uz/2026/08/12/qonunchilikdagi-ayrim-atamalar-ozbekcha-muqobillari-bilan-almashtiriladi)

• Toshkent markazidagi 350 yillik tut daraxti davlat tabiat yodgorligi deb [e’lon qilindi](https://daryo.uz/2026/08/12/toshkent-markazidagi-350-yillik-tut-daraxti-davlat-tabiat-yodgorligi-deb-elon-qilindi)

• O‘zbekistonlik o‘quvchilar 2026-yilda xalqaro fan olimpiadalarida 220 ta medal [qo‘lga kiritdi](https://daryo.uz/2026/08/12/ozbekistonlik-oquvchilar-2026-yilda-xalqaro-fan-olimpiadalarida-220-ta-medal-qolga-kiritdi)

• “Aybimiz bo‘lsa, uzrimizni so‘raymiz” — Chinoz hokimi “Sharmandali mahalla” yozuvini yopishtirish topshirigʻi bo‘yicha [izoh berdi](https://daryo.uz/2026/08/12/aybimiz-bolsa-uzrimizni-soraymiz-chinoz-hokimi-sharmandali-mahalla-yozuvini-yopishtirish-topshirigi-boyicha-izoh-berdi)

• O‘zbekistonda ehtiyojmand oilalarga yarim yilda elektr va gaz uchun 92 mlrd so‘m kompensatsiya [to‘landi](https://daryo.uz/2026/08/12/ozbekistonda-ehtiyojmand-oilalarga-yarim-yilda-elektr-va-gaz-uchun-92-mlrd-som-kompensatsiya-tolandi)

👉 Obuna bo‘ling — @daryo"
@daryo,135495,2026-08-13 02:02:43,63114,4,"**“PSJ” “Aston Villa”ni yengib o‘z tarixida ikkinchi bor UEFA Superkubogini qo‘lga kiritdi**

Luis Enrike boshqaruvidagi jamoa Yevropa Ligasining amaldagi g‘olibini 2:1 hisobida mag‘lub etdi.

Batafsil — https://daryo.uz/50P3BqyDR

👉 Obuna bo'ling — @daryo"
@daryo,135496,2026-08-13 03:01:26,62523,14,"**Rossiya Ukraina bilan urushda 16 mingdan ortiq tinch aholini hibsga oldi — BMT**

Tashqi dunyo bilan aloqasi uzib qo‘yilgan bu insonlarning ko‘pchiligi xalqaro huquqqa zid ravishda ushlab turilibdi. Tutqunlikdagilar muntazam ravishda shafqatsiz muomala, qiynoqlar hamda og‘ir sharoitlarga duch kelmoqda.

Batafsil — https://daryo.uz/llfzVqyDR

👉 Obuna bo‘ling — @daryo"
@daryo,135497,2026-08-13 03:32:26,59859,22,"**O‘zbekistonda kriptoaktivlar xizmatlari provayderlari uchun yangi nazorat talablari joriy etilishi mumkin**

Sohadagi xizmatlar provayderlari uchun jinoiy daromadlarni legallashtirish va terrorizmni moliyalashtirishga qarshi ichki nazorat talablarini kuchaytirish rejalashtirilmoqda.

Batafsil — https://daryo.uz/CjMgeCyvR

👉 Obuna bo'ling — @daryo"
@daryo,135498,2026-08-13 04:05:01,60328,12,"**Navoiyda quyma oltinni 340 mln so‘mga noqonuniy sotmoqchi bo‘lganlar ushlandi**

Ikki kishi oltinning bir qismini sotib, pulini olayotganida qo‘lga tushgan. Ulardan biri xonadonida qumdan oltinni ajratib olishga mo‘ljallangan yashirin sex tashkil qilgani ham aniqlangan.

Batafsil — https://daryo.uz/-RbTKeyDR

👉 Obuna bo'ling — @daryo"
@daryo,135499,2026-08-13 04:25:01,57520,38,"**Yevropada XXI asrda birinchi marta Quyosh to‘liq tutildi (foto)**

Grenlandiya, Islandiya, Portugaliya va Ispaniya aholisi Oy tomonidan to‘liq to‘silgan Quyoshni kuzatish imkoniga ega bo‘ldi. Keyingi to‘liq tutilish 2027-yil 2-avgustda sodir bo‘ladi.

Batafsil — https://daryo.uz/vOM_KesvR

👉 Obuna bo'ling — @daryo"
@daryo,135504,2026-08-13 04:55:36,61237,10,"**Qashqadaryoda haydovchi uni to‘xtatishga uringan YPX mashinasini Nexia’da urib qochdi**

U ikkita chorrahada YPX xodimlari to‘xtash ishorasiga bo‘ysunmay, harakatni davom ettirgan. Inspektorlardan qochib, yo‘lda qarama-qarshi harakatlangan.

Batafsil — https://daryo.uz/y4PktesvR

👉 Obuna bo'ling — @daryo"
@daryo,135505,2026-08-13 05:31:11,62670,10,"**“O‘zgidromet” 14-avgustga ob-havo prognozini e’lon qildi**

Juma kuni ham 40 daraja atrofida issiq havo bo‘ladi, ayrim joylarda chang-to‘zon kuzatilishi mumkin.

Batafsil — https://daryo.uz/LgTX0eyDg

👉 Obuna bo'ling — @daryo"
