date_only,total_messages,economic_messages,counted_messages,econ_share,EAI,EAI_z,EAI_100,ESI,ESI_z,ESI_100,avg_engagement
2026-09-02,154,78,72,0.5064935064935064,0.3825645938533691,0.7027757950106956,116.18244120031693,0.3552736274921809,1.137881434053495,67.76368137460904,9.347047788671311
2026-09-03,167,85,76,0.5089820359281437,0.367249467316714,0.500786166456611,111.53133438879024,0.3609150623229616,1.2260536063386387,68.04575311614808,9.139674667392365
2026-09-04,166,79,68,0.4759036144578313,0.32130797550787454,-0.10513144339649849,97.57919465475844,0.20933589215584325,-1.1430360149562802,60.46679460779216,9.147281541776893
2026-09-05,124,39,34,0.31451612903225806,0.20713960496854944,-1.6108863389025692,62.90698449668732,0.2785025665698433,-0.062003243019134145,63.925128328492164,9.008044950284411
2026-09-06,63,13,13,0.20634920634920634,0.16150787804590971,-2.212718491534491,49.048918394285465,0.22323905430389812,-0.9257381031665356,61.161952715194914,9.901573434974267
2026-09-07,162,67,63,0.41358024691358025,0.3006653933641974,-0.3773843359611838,91.31017335831898,0.2565353440293747,-0.40533748130479325,62.82676720146873,8.971617741285419
2026-09-08,184,101,96,0.5489130434782609,0.40687530989630954,1.023407328262777,123.56545150126263,0.3088560961401291,0.4124038394009002,65.44280480700647,8.734068902483498
2026-09-09,152,75,70,0.4934210526315789,0.3575291262908208,0.37258558851558066,108.57932845872573,0.31930131937640355,0.5756562832154681,65.96506596882018,8.853254193939962
2026-09-10,191,79,77,0.41361256544502617,0.3210322493576031,-0.1087679672308056,97.49545837138041,0.29628554503696475,0.21593382231589892,64.81427725184824,8.679736942392635
2026-09-11,186,96,92,0.5161290322580645,0.3830803436890246,0.7095779665423216,116.33907115488634,0.2778955578854262,-0.07149041709920695,63.894777894271314,8.445291868910818
2026-09-12,135,51,48,0.37777777777777777,0.275088440148115,-0.7147161410426988,83.54261485746693,0.3393045410475187,0.8882943904254034,66.96522705237594,8.375444184438452
2026-09-13,81,23,23,0.2839506172839506,0.21642964050520058,-1.4883610157972569,65.7283093783608,0.3079871496641629,0.39882273801736146,65.39935748320815,9.052483733199256
2026-09-14,173,83,77,0.4797687861271676,0.36312077708574203,0.446333295683854,110.27747734686524,0.21381415164889211,-1.0730435610145515,60.6907075824446,8.57895412968405
2026-09-15,191,102,96,0.5340314136125655,0.39091030902581436,0.8128465739667656,118.71698197559017,0.23476884354880087,-0.7455345566917689,61.73844217744004,8.453217040559279
2026-09-16,154,76,71,0.4935064935064935,0.36251628706691685,0.4383607390043572,110.09389756139441,0.354106392990746,1.1196382734667336,67.7053196495373,9.132462386501679
2026-09-17,154,76,65,0.4935064935064935,0.33931891415237725,0.13241297375253983,103.04900250851264,0.19462158232070284,-1.3730116684482194,59.73107911603515,8.772852655208533
2026-09-18,192,99,89,0.515625,0.36667401656701637,0.49319660571061297,111.35657364520702,0.32211116222980246,0.6195724066123562,66.10555811149013,8.593114529263305
2026-09-19,125,78,77,0.624,0.5036006327545114,2.2991076621216684,152.94031868999667,0.37323245187725995,1.4185668634198205,68.66162259386299,8.714431520197133
2026-09-20,95,28,28,0.29473684210526313,0.2332018938086552,-1.267153492198191,70.82193634890143,0.13819483541268884,-2.254927173829512,56.90974177063444,8.993251416669866
2026-09-21,136,57,48,0.41911764705882354,0.27665380115588156,-0.6940707557267463,84.01800506911786,0.2548707312807675,-0.4313543593616709,62.74353656403837,9.255344666339544
2026-09-22,168,78,72,0.4642857142857143,0.3251045547754674,-0.05505874995829544,98.73219170311707,0.2226415528201709,-0.9350766855208646,61.13207764100854,9.170370717628888
2026-09-23,179,95,86,0.5307262569832403,0.3825708295309543,0.702858036720955,116.1843349360573,0.3725390621894913,1.4077296071464516,68.62695310947457,9.000320571517998
